Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-04-20,9179.099609375,9183.650390625,9088.75,9119.400390625,155200,0.0,0.0
2017-04-24,9273.0498046875,9309.2001953125,9250.349609375,9306.599609375,168700,0.0,0.0
2017-04-25,9336.2001953125,9367.0,9301.349609375,9351.849609375,185700,0.0,0.0
2017-04-26,9359.150390625,9367.150390625,9322.650390625,9342.150390625,209400,0.0,0.0
2017-04-27,9340.9501953125,9342.650390625,9282.25,9304.0498046875,162200,0.0,0.0
2017-05-01,9339.849609375,9352.5498046875,9269.900390625,9313.7998046875,161600,0.0,0.0
2017-05-02,9344.7001953125,9346.2998046875,9298.400390625,9311.9501953125,151600,0.0,0.0
2017-05-03,9360.9501953125,9365.650390625,9323.25,9359.900390625,269600,0.0,0.0
2017-05-04,9374.5498046875,9377.099609375,9272.0,9285.2998046875,231900,0.0,0.0
2017-05-08,9337.349609375,9338.9501953125,9307.7001953125,9316.849609375,132300,0.0,0.0
2017-05-09,9339.650390625,9414.75,9336.0,9407.2998046875,152700,0.0,0.0
2017-05-10,9448.599609375,9450.650390625,9411.2998046875,9422.400390625,171100,0.0,0.0
2017-05-11,9436.650390625,9437.75,9372.5498046875,9400.900390625,154300,0.0,0.0
2017-05-15,9461.0,9517.2001953125,9456.349609375,9512.25,166500,0.0,0.0
2017-05-16,9517.599609375,9532.599609375,9486.099609375,9525.75,205500,0.0,0.0
2017-05-17,9453.2001953125,9489.099609375,9418.099609375,9429.4501953125,193300,0.0,0.0
2017-05-18,9469.900390625,9505.75,9390.75,9427.900390625,252100,0.0,0.0
2017-05-22,9445.0498046875,9448.0498046875,9370.0,9386.150390625,224400,0.0,0.0
2017-05-23,9410.900390625,9431.900390625,9341.650390625,9360.5498046875,211800,0.0,0.0
2017-05-24,9384.0498046875,9523.2998046875,9379.2001953125,9509.75,289200,0.0,0.0
2017-05-25,9507.75,9604.900390625,9495.400390625,9595.099609375,218800,0.0,0.0
2017-05-30,9636.5498046875,9649.599609375,9609.25,9621.25,414300,0.0,0.0
